Age,Primary streaming service,Primary_streaming_service_in_numbers,Hours_per_day_percentage,Anxiety,Depression,Insomnia,OCD,Overall_Mental_Health_out_of_100
18.0,Spotify,1,12.5,3.0,0.0,1.0,0.0,10.0
63.0,Pandora,2,6.25,7.0,2.0,2.0,1.0,30.0
18.0,Spotify,1,16.666666666666664,7.0,7.0,10.0,2.0,65.0
61.0,YouTube Music,3,10.416666666666668,9.0,7.0,3.0,3.0,55.0
18.0,Spotify,1,16.666666666666664,7.0,2.0,5.0,9.0,57.5
18.0,Spotify,1,20.833333333333336,8.0,8.0,7.0,7.0,75.0
18.0,YouTube Music,3,12.5,4.0,8.0,6.0,0.0,45.0
21.0,Spotify,1,4.166666666666666,5.0,3.0,5.0,3.0,40.0
19.0,Spotify,1,25.0,2.0,0.0,0.0,0.0,5.0
18.0,I do not use a streaming service.,5,4.166666666666666,2.0,2.0,5.0,1.0,25.0
18.0,Spotify,1,12.5,7.0,7.0,4.0,7.0,62.5
19.0,YouTube Music,3,33.33333333333333,1.0,0.0,0.0,1.0,5.0
19.0,Spotify,1,8.333333333333332,2.0,1.0,2.0,0.0,12.5
18.0,Spotify,1,16.666666666666664,6.0,4.0,7.0,0.0,42.5
17.0,Spotify,1,8.333333333333332,7.0,5.0,4.0,1.0,42.5
16.0,Spotify,1,33.33333333333333,8.0,8.0,4.0,3.0,57.5
16.0,Spotify,1,50.0,5.0,7.0,10.0,0.0,55.0
17.0,Spotify,1,100.0,7.0,5.0,0.0,3.0,37.5
15.0,Spotify,1,12.5,7.0,3.0,0.0,2.0,30.0
15.0,Apple Music,4,33.33333333333333,6.0,9.0,3.0,0.0,45.0
17.0,Spotify,1,16.666666666666664,10.0,10.0,2.0,4.0,65.0
19.0,I do not use a streaming service.,5,20.833333333333336,6.0,7.0,5.0,4.0,55.0
18.0,Spotify,1,8.333333333333332,3.0,3.0,8.0,6.0,50.0
16.0,Other streaming service,6,12.5,10.0,6.0,8.0,10.0,85.0
18.0,Spotify,1,8.333333333333332,7.0,4.0,2.0,5.0,45.0
14.0,Spotify,1,50.0,8.0,6.0,10.0,5.0,72.5
18.0,YouTube Music,3,25.0,3.0,2.0,1.0,2.0,20.0
17.0,Spotify,1,8.333333333333332,6.0,6.0,4.0,5.0,52.5
17.0,Apple Music,4,4.166666666666666,8.0,2.0,1.0,5.0,40.0
20.0,Apple Music,4,20.833333333333336,7.0,7.0,2.0,0.0,40.0
19.0,Spotify,1,8.333333333333332,4.0,4.0,4.0,3.0,37.5
19.0,Spotify,1,25.0,9.0,8.0,2.0,3.0,55.0
17.0,Spotify,1,16.666666666666664,5.0,6.0,6.0,1.0,45.0
16.0,Spotify,1,4.166666666666666,0.0,0.0,0.0,0.0,0.0
18.0,Spotify,1,20.833333333333336,3.0,2.0,1.0,1.0,17.5
21.0,Spotify,1,16.666666666666664,6.0,8.0,0.0,2.0,40.0
17.0,Other streaming service,6,12.5,2.0,0.0,4.0,0.0,15.0
26.0,Other streaming service,6,2.083333333333333,9.0,8.0,1.0,0.0,45.0
20.0,Spotify,1,16.666666666666664,7.0,2.0,8.0,6.0,57.5
23.0,YouTube Music,3,8.333333333333332,4.0,2.0,3.0,4.0,32.5
18.0,Spotify,1,20.833333333333336,7.0,6.0,5.0,0.0,45.0
37.0,YouTube Music,3,1.0416666666666665,3.0,2.0,10.0,0.0,37.5
17.0,Spotify,1,12.5,6.0,6.0,8.0,2.0,55.0
18.0,Spotify,1,16.666666666666664,1.0,0.0,8.0,2.0,27.5
17.0,I do not use a streaming service.,5,4.166666666666666,7.0,3.0,1.0,5.0,40.0
36.0,Spotify,1,4.166666666666666,8.0,9.0,3.0,0.0,50.0
24.0,Spotify,1,12.5,9.0,6.0,4.0,3.0,55.0
18.0,Spotify,1,20.833333333333336,7.0,9.0,5.0,0.0,52.5
19.0,Spotify,1,12.5,7.0,4.0,2.0,4.0,42.5
